RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.9999999,62,0,0.15494045,9067.0,2,0,1,0,0.0
0.109172533,37,6,0.428523825,3000.0,14,1,0,2,2.0
0.081278565,77,0,0.026825633,4025.0,12,0,0,0,0.0
0.068180569,70,0,0.284301726,41666.0,12,0,4,0,2.0
0.05575925,62,0,0.014802119,6417.0,6,0,0,0,0.0
0.644303906,46,0,3.836938436,600.0,4,0,1,0,0.0
0.104764842,36,0,0.63393022,5416.0,12,0,1,0,0.0
0.702297702,31,2,0.076105588,2916.0,7,0,0,0,1.0
0.242191974,50,0,0.584805065,3000.0,3,0,1,1,3.0
0.000240635,72,0,0.157522555,4100.0,11,0,1,0,0.0
0.015807786,49,0,0.253454545,5499.0,5,0,1,0,2.0
0.711169722,30,2,0.409899087,8323.0,12,0,1,0,7.0
0.029934938,32,0,0.126312281,6000.0,8,0,0,0,0.0
0.000975261,59,0,0.140301711,16770.0,12,0,1,0,0.0
0.9999999,25,0,0.072565716,2700.0,2,0,0,0,0.0
0.208162894,67,0,574.0,,7,0,1,0,0.0
0.149885033,53,0,0.33248731,4333.0,7,0,1,0,0.0
0.107544623,62,0,0.295264624,2871.0,7,0,1,0,0.0
0.719163334,38,0,0.078150521,7958.0,5,0,0,0,0.0
0.070792921,82,0,1196.0,,4,0,1,0,0.0
0.051015361,61,0,0.652916389,4508.0,14,0,2,0,0.0
0.004168656,44,0,0.295207292,3400.0,9,0,1,0,0.0
0.146937937,60,0,0.098938948,18000.0,4,0,1,0,0.0
0.237862438,75,0,0.142296019,5600.0,15,0,0,0,1.0
0.024261165,46,0,0.194737829,16000.0,13,0,2,0,0.0
0.021715099,61,0,2008.0,,12,0,1,0,0.0
0.368258704,71,1,552.0,,8,0,0,0,0.0
0.824473796,29,0,0.976673146,3600.0,10,0,2,0,0.0
0.069498169,62,0,0.099269719,33000.0,21,0,2,0,1.0
0.071740807,58,0,0.376776814,5416.0,17,0,2,0,0.0
0.123126515,62,0,0.419510514,2900.0,13,0,2,0,1.0
0.043228061,66,0,0.269946011,3333.0,23,0,0,0,0.0
0.046149419,47,0,0.340043986,11821.0,7,0,2,0,3.0
0.0,61,0,376.0,,6,0,1,0,0.0
0.953442483,56,0,0.783304746,1748.0,6,0,1,0,0.0
0.864911028,35,3,0.52143968,4500.0,10,0,1,0,1.0
0.662266209,50,0,0.515053546,4948.0,10,0,1,0,0.0
0.0,75,0,187.0,,4,0,0,0,0.0
0.070565373,52,0,0.032369609,10410.0,6,0,0,0,0.0
0.115116296,52,0,0.14979209,10340.0,9,0,1,0,2.0
0.577035843,44,1,0.128218714,9436.0,12,0,0,0,4.0
0.9999999,55,0,0.066431251,9061.0,6,1,1,0,3.0
0.049165028,66,0,0.309422644,4000.0,6,0,2,0,0.0
0.014081722,82,0,0.106725608,3166.0,11,0,0,0,0.0
0.9999999,68,0,0.391921616,5000.0,2,0,1,0,0.0
0.834056127,39,1,0.384763414,8833.0,9,0,1,1,1.0
0.0,62,0,0.069681587,4333.0,7,0,1,0,0.0
0.052150677,42,0,0.211462661,18773.0,9,0,1,0,3.0
0.9999999,43,0,0.149419076,3700.0,2,0,0,0,0.0
0.922868162,47,0,0.409618321,13099.0,3,0,1,0,1.0
0.031630805,33,0,0.023740108,2400.0,3,0,0,0,0.0
0.228583396,59,0,1.470951792,2426.0,20,0,3,0,0.0
0.185378272,62,0,0.371488878,6158.0,12,0,2,0,0.0
0.128402191,31,0,0.198140093,6666.0,11,0,0,0,0.0
0.053995846,50,0,29.0,,2,0,0,0,0.0
0.691179513,41,0,0.388712624,10400.0,10,0,2,0,4.0
0.222480031,61,0,3143.0,,11,0,2,0,1.0
0.0,71,0,1938.0,,9,0,1,0,0.0
0.0,40,0,0.673108964,3000.0,7,0,1,0,0.0
0.042847673,36,0,806.0,,7,0,0,0,0.0
0.042737863,62,0,3041.0,,11,0,1,0,0.0
0.400138354,66,0,0.43664,12499.0,34,0,4,0,2.0
0.026151145,56,0,0.713337989,2863.0,17,0,1,0,1.0
0.101629764,81,0,0.480740959,3400.0,18,0,0,0,0.0
0.230589762,53,0,0.624945676,2300.0,11,0,1,0,1.0
0.123397616,57,0,0.033600775,18570.0,16,0,0,0,0.0
0.180088227,55,3,0.383854331,9500.0,30,0,2,1,1.0
0.772845431,62,1,0.725148515,2524.0,6,0,1,0,0.0
0.124987501,26,1,0.088906624,6264.0,4,0,0,0,0.0
0.066387267,55,1,1720.0,,13,0,1,0,2.0
0.187892717,50,0,0.427446569,8000.0,12,0,2,0,1.0
0.940029985,38,0,337.0,,4,0,0,0,0.0
0.031631305,63,0,0.009514395,8092.0,6,0,1,0,0.0
0.04495646,63,0,0.15240501,9500.0,4,0,1,0,0.0
0.052833849,65,0,0.252502781,1797.0,6,0,1,0,0.0
0.00745493,48,0,0.281430219,2600.0,6,0,1,0,0.0
0.009557006,31,0,0.301107126,12825.0,13,0,4,0,0.0
0.067656114,62,0,0.012426796,7000.0,11,0,0,0,0.0
0.157943445,59,1,0.480923222,4245.0,17,0,2,0,1.0
0.657152095,41,0,0.510877719,7997.0,10,0,1,0,3.0
0.921860164,58,0,0.293033634,12100.0,11,0,1,0,1.0
0.442822287,42,0,0.570130264,3300.0,3,0,1,0,0.0
0.275592142,68,2,0.382693845,5003.0,15,0,2,0,0.0
0.9999999,63,0,0.296660118,3562.0,3,0,1,0,0.0
0.037999662,62,0,0.111756168,6200.0,9,0,0,0,8.0
0.207575908,29,0,0.159392425,5200.0,5,0,0,0,0.0
0.99000238,45,0,0.511338617,9083.0,8,1,1,0,3.0
0.200254164,61,0,116.0,,11,0,0,0,0.0
0.024999219,54,1,0.477480034,24666.0,15,0,6,0,0.0
0.287596191,46,0,0.287150966,26250.0,8,0,4,0,2.0
0.078427016,66,0,0.546930134,4250.0,13,0,2,0,0.0
0.183545421,48,0,0.307427588,6973.0,9,0,1,0,0.0
0.035693149,34,0,0.236614086,4500.0,7,0,0,0,0.0
1.016469619,34,0,0.202399859,5666.0,4,0,0,0,2.0
0.137720226,64,0,0.179646706,9000.0,15,0,2,0,0.0
0.005694473,56,0,6.0,,8,0,0,0,0.0
0.382755329,67,0,0.568300984,10870.0,10,0,2,0,0.0
0.0,43,0,0.234861347,5300.0,4,0,1,0,0.0
0.0,77,0,0.0,7077.0,8,0,0,0,0.0
0.24943187,70,0,0.054448871,1505.0,2,0,0,0,0.0
0.019577578,54,0,0.065386923,5000.0,9,0,0,0,2.0
0.034150741,49,0,0.370836942,12700.0,6,0,2,0,1.0
0.281687368,54,0,0.55675546,8333.0,17,0,2,0,0.0
0.275402343,33,0,0.123261522,3666.0,5,0,0,0,0.0
0.04585685,48,0,5786.0,,18,0,1,0,0.0
0.110875565,64,0,0.427992488,10116.0,6,0,3,0,0.0
0.077574864,57,0,0.10303458,2833.0,9,0,0,0,0.0
0.0,59,0,0.126484189,8000.0,5,0,1,0,0.0
0.005391893,68,0,0.006806028,2056.0,1,0,0,0,0.0
0.006233126,64,0,0.071015599,9166.0,6,0,1,0,0.0
0.698137038,27,0,0.167376412,5400.0,6,0,0,0,1.0
0.369632283,63,0,8832.0,,17,0,4,0,2.0
0.881655917,44,1,0.149423691,7200.0,5,0,0,0,3.0
0.59346703,41,2,1.458819715,3083.0,7,0,3,0,2.0
0.031519455,42,0,1.05108055,1017.0,8,0,0,0,0.0
0.005575532,39,2,0.363663177,6780.0,8,1,2,0,1.0
0.169532187,39,1,0.309729419,1736.0,7,0,0,0,1.0
0.011911344,89,0,0.486585569,6000.0,9,0,3,0,0.0
0.075559596,34,0,0.539892022,3333.0,5,0,1,0,0.0
0.009999301,42,0,1020.0,,2,0,1,0,0.0
0.527252774,28,0,0.660141608,2400.0,6,0,0,0,1.0
0.780286179,41,0,0.724962631,2675.0,9,0,1,0,0.0
0.012434841,73,0,0.109237427,6700.0,8,0,1,0,0.0
0.025952318,54,0,0.301608945,11000.0,6,0,2,0,2.0
0.022785951,59,0,0.216105177,6084.0,5,0,1,0,0.0
0.0,39,0,0.226823529,4249.0,8,0,2,0,2.0
0.47069884,32,0,0.658780407,3000.0,16,0,1,0,0.0
0.028540265,31,0,0.286839145,5333.0,7,0,2,0,0.0
0.065830405,53,2,0.28959276,5966.0,16,0,1,0,0.0
0.0,60,0,0.305585782,5513.0,7,0,1,0,1.0
0.041988022,62,0,0.413062409,3444.0,11,0,2,0,1.0
0.912175649,26,0,0.058039433,3600.0,2,0,0,1,0.0
0.416239709,45,0,1065.0,,5,0,0,1,0.0
0.94376875,53,0,0.260277305,12332.0,9,0,1,0,0.0
0.20510191,52,0,1.323264441,1886.0,7,0,2,0,0.0
0.531367158,44,0,0.223253275,3663.0,3,0,1,2,3.0
0.333212143,27,0,0.26223491,2451.0,4,0,0,0,0.0
0.065245571,78,0,0.180116959,2564.0,11,0,1,0,0.0
0.04147926,84,0,0.024991669,3000.0,9,0,0,0,0.0
0.450244519,64,0,0.225462423,6000.0,8,0,0,0,0.0
0.056067601,61,0,0.270196769,6250.0,8,0,1,0,0.0
0.804654367,50,0,0.266686666,6666.0,11,0,0,0,2.0
0.126372615,42,1,0.406792744,2590.0,6,0,1,0,1.0
0.133747441,65,0,0.227377262,10000.0,13,0,0,0,1.0
0.9999999,48,0,8155.0,,3,0,2,0,0.0
0.044254378,68,0,0.121434872,3400.0,8,0,1,0,0.0
0.9999999,48,2,2150.0,,5,0,2,1,1.0
0.408658421,56,0,0.145891909,3200.0,13,0,0,0,2.0
0.471165011,47,1,0.892116183,2650.0,6,0,2,0,1.0
0.042443501,65,0,0.064690027,2225.0,6,0,0,0,0.0
0.00233764,77,0,0.118691435,6082.0,11,0,0,0,0.0
0.00592843,80,0,7.0,,6,0,0,0,
0.9999999,60,0,0.242948135,1098.0,3,0,0,0,0.0
0.069017591,51,0,0.213422708,12083.0,8,0,1,0,4.0
0.055631887,55,0,0.230930318,19100.0,11,0,1,0,2.0
0.063055885,61,0,1.923076923,1000.0,8,0,1,0,0.0
0.647804483,46,0,1.111725955,3794.0,22,0,2,0,1.0
0.485878092,36,0,0.466153223,7400.0,10,0,2,0,0.0
0.023538193,78,0,0.208511854,3500.0,14,0,0,0,0.0
0.724893983,54,0,0.645919478,4594.0,10,0,1,0,0.0
0.1667878,43,0,2393.0,,9,0,1,0,0.0
0.09108051,35,0,0.394967046,8344.0,8,0,2,0,0.0
0.008203533,49,1,0.299009132,5146.0,15,0,2,0,1.0
0.0,64,0,0.483253589,835.0,3,0,0,0,0.0
0.794425278,52,0,0.563670821,13718.0,26,0,4,0,2.0
0.042156174,40,0,0.209189541,20000.0,6,0,1,0,3.0
0.215287599,43,0,0.421595982,3583.0,9,0,1,0,0.0
0.241792198,73,0,0.016959122,10200.0,13,0,0,0,0.0
0.138681778,58,0,0.206482846,4750.0,12,0,1,0,0.0
0.123407088,39,1,0.871179663,3500.0,12,0,2,0,2.0
0.334428227,59,0,0.377220077,2589.0,3,0,1,0,0.0
0.011548483,80,0,0.002498438,1600.0,3,0,0,0,0.0
1.146422629,21,0,0.011514105,1736.0,1,0,0,0,0.0
0.0,71,0,0.057596456,5416.0,3,0,0,0,0.0
0.002743991,39,0,4.0,,4,0,0,0,0.0
0.031460328,32,0,1785.0,,5,0,2,0,0.0
0.353738474,65,0,0.379633902,6500.0,6,0,1,0,0.0
0.725927407,63,0,0.26817619,5652.0,4,0,1,0,1.0
0.067761654,53,0,0.874309655,5250.0,21,0,1,0,2.0
0.669211026,47,0,0.251875973,7062.0,5,0,1,0,1.0
0.9999999,78,2,0.218767351,1800.0,1,0,0,0,0.0
0.015704837,38,0,0.002499583,6000.0,8,0,0,0,0.0
0.04721155,62,0,4134.0,,10,0,4,0,0.0
0.733355582,45,0,0.356117084,12742.0,11,0,3,0,1.0
0.287006255,63,0,0.321250747,20083.0,24,0,2,0,1.0
0.630378074,38,0,3486.0,,11,0,2,0,0.0
0.356373887,50,0,0.423501841,5973.0,20,0,1,0,2.0
0.050983006,29,0,0.168898411,5600.0,2,0,1,0,0.0
0.04209579,36,0,0.132135613,3450.0,6,0,0,0,2.0
0.096695343,53,0,0.280277327,6778.0,5,0,1,0,2.0
0.352677702,63,0,0.555670458,2900.0,5,0,1,0,0.0
0.904670964,74,2,0.629014989,7471.0,15,0,2,0,0.0
0.036490877,25,0,0.005998001,3000.0,3,0,0,0,0.0
0.0,57,0,3547.0,,10,0,2,0,0.0
0.402697186,51,2,0.184437028,5692.0,5,0,0,0,3.0
0.002475199,52,0,0.466176122,4212.0,17,0,2,0,1.0
0.00159996,70,0,0.360329959,8000.0,5,0,2,0,0.0
0.01580863,67,0,0.283753431,4006.0,15,0,2,0,0.0
0.906427309,32,2,0.374560917,5408.0,11,0,2,1,0.0
0.503455043,53,0,0.477266349,7125.0,14,0,3,0,0.0
0.103482758,63,0,0.231884058,17249.0,4,0,1,0,3.0
0.752427341,42,0,0.248260139,8333.0,6,0,1,0,2.0
1.003124609,44,0,0.393477743,4200.0,8,0,0,0,0.0
0.0643725,31,0,0.343754401,7100.0,7,0,1,1,0.0
0.063544287,30,0,0.223779078,7350.0,4,0,1,0,0.0
0.022391288,75,0,26.0,,2,0,0,0,0.0
0.090981509,46,0,2.037201555,1800.0,13,0,1,0,2.0
0.0,50,0,0.112649294,3683.0,5,0,0,0,4.0
0.021070488,45,0,4207.0,,5,0,1,0,0.0
0.449106085,60,0,2109.0,,7,0,2,0,2.0
0.0,41,1,627.0,,6,0,1,0,0.0
0.097261845,50,0,0.201836049,7733.0,7,0,1,0,2.0
0.085222325,58,0,0.255937655,8083.0,9,0,2,0,0.0
0.950033311,59,1,0.688836105,2946.0,5,0,1,0,0.0
0.086548616,65,2,2602.0,,19,0,2,0,1.0
0.031692278,54,0,0.550254869,7650.0,16,0,2,0,3.0
0.241516966,39,0,0.037493751,6000.0,11,0,0,0,0.0
0.260205795,41,1,0.368348307,4340.0,8,0,1,0,2.0
0.437781109,29,0,0.005376344,4835.0,3,0,0,0,0.0
0.666278227,73,0,0.240515933,2635.0,3,0,0,0,0.0
0.994429367,63,4,0.254853772,8137.0,6,6,1,1,0.0
0.681847504,51,1,0.614094941,10258.0,6,0,2,0,1.0
0.023914052,58,0,0.189398419,18600.0,12,0,2,0,0.0
0.130890052,26,0,59.0,,6,0,0,0,0.0
0.129388236,57,1,0.427202666,4800.0,10,0,1,0,3.0
0.698230177,52,0,0.696853867,3400.0,4,0,1,0,1.0
0.815915628,33,0,1.247160382,2200.0,9,0,2,0,0.0
0.648063639,69,1,0.342408634,8153.0,8,0,1,0,1.0
0.9999999,28,0,0.087641692,3616.0,1,0,0,0,1.0
0.005929721,89,0,10.0,,11,0,0,0,
0.08036496,66,0,2159.0,,5,0,2,0,
0.479878698,57,0,0.209684331,7000.0,4,0,1,0,0.0
0.029784256,54,0,5599.0,,14,0,3,0,0.0
0.154580426,60,0,1.996858639,954.0,19,0,1,0,0.0
0.004190092,57,2,0.733193703,14800.0,23,0,4,0,1.0
0.066643547,32,0,0.367942402,7916.0,7,0,1,0,1.0
0.0,27,0,0.770491803,2500.0,5,0,1,0,0.0
0.9999999,55,0,0.008495752,2000.0,0,1,0,0,0.0
0.097156114,41,0,0.194480552,10000.0,4,0,1,0,0.0
0.0,41,0,2058.0,0.0,9,0,1,0,2.0
0.075881526,41,0,0.384172947,10083.0,16,0,2,0,2.0
0.0,60,0,2761.0,,11,0,1,0,0.0
0.516724158,64,1,0.471602493,17166.0,12,0,1,0,0.0
0.134012146,80,0,1.443674177,1730.0,9,0,2,0,0.0
0.038325912,60,0,844.0,,5,0,1,0,1.0
0.951209758,36,0,0.061445262,2310.0,2,0,0,0,2.0
0.0,62,0,1944.0,,4,0,2,0,
0.732036753,69,0,0.171400467,8132.0,8,1,0,1,1.0
1.123876124,26,1,0.356158993,2540.0,5,3,0,3,2.0
0.005052252,46,0,0.346870962,10833.0,14,0,2,1,0.0
0.412404873,75,0,0.186703029,13566.0,14,0,1,0,2.0
0.066361123,67,0,281.0,,7,0,1,0,0.0
0.015545339,49,0,1452.0,,6,0,1,0,0.0
0.9999999,36,0,0.234896401,4584.0,5,0,1,0,1.0
0.574252926,49,0,0.319736053,3333.0,9,0,1,1,3.0
0.27890233,47,0,0.365612049,9892.0,15,0,2,0,2.0
0.988646503,45,1,0.407513212,7000.0,5,0,1,0,3.0
0.410198251,38,0,1.327251553,2575.0,24,0,3,0,0.0
0.612295676,42,0,0.435856917,6960.0,11,0,2,0,2.0
0.466997893,71,0,0.362135177,7811.0,9,0,1,0,0.0
0.09119696,56,0,0.281133379,7234.0,7,0,2,0,3.0
0.0,41,0,0.234395086,7000.0,7,0,1,0,2.0
0.0,82,0,33.0,,5,0,0,0,0.0
0.9999999,53,2,0.65778074,3000.0,5,0,1,2,0.0
0.019918819,65,0,0.24416818,7158.0,11,0,2,0,0.0
0.0,53,0,0.256738988,6083.0,9,0,2,0,0.0
0.024225416,53,0,45.0,,8,0,0,0,0.0
0.387448997,55,0,0.114136287,6500.0,7,0,0,1,1.0
0.20497315,58,0,0.514796054,3750.0,12,0,1,0,2.0
0.005768787,65,0,0.157150528,5586.0,2,0,1,0,0.0
0.021416369,54,0,0.241780658,8333.0,13,0,1,0,1.0
0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0
0.026098793,56,0,0.313206077,7700.0,12,0,2,0,0.0
0.102708361,69,0,0.01296049,12730.0,5,0,0,0,0.0
0.031163672,44,0,0.356728871,15700.0,9,0,3,0,0.0
0.125955802,23,0,13.38768719,600.0,9,0,0,0,0.0
0.06534252,79,7,0.782016349,1100.0,12,0,1,0,0.0
0.3458919,45,1,0.118769883,3771.0,4,0,0,0,3.0
0.039087912,34,0,0.067460772,8730.0,19,0,0,0,2.0
0.659983582,51,1,0.164307004,10735.0,6,0,0,0,3.0
0.212518696,60,2,0.370655442,8314.0,8,0,1,0,2.0
0.022317223,44,0,0.00779844,3333.0,4,0,0,0,0.0
0.007825044,61,0,14.0,,7,0,0,0,0.0
0.087357223,61,0,0.238293618,6000.0,9,0,1,0,1.0
0.9999999,56,0,0.477506616,3400.0,5,0,1,0,0.0
0.789180086,43,0,0.1728032,8500.0,6,0,1,0,0.0
0.0,50,0,0.0,13000.0,4,0,0,0,1.0
0.166499814,38,0,2474.0,,11,0,2,0,0.0
0.209961825,36,0,0.009486607,3583.0,5,0,0,0,0.0
0.047755321,61,0,0.095113111,8000.0,9,0,1,0,1.0
0.881731181,41,2,0.936480687,2329.0,7,0,1,0,0.0
0.011969198,62,0,1337.0,0.0,9,0,1,0,0.0
0.34775284,33,1,0.081383723,5000.0,7,0,0,1,0.0
0.056176711,57,0,0.003576396,5032.0,2,0,0,0,0.0
0.001133296,60,0,0.258998972,11667.0,6,0,1,0,3.0
0.014467743,48,0,0.233910717,7100.0,13,0,0,0,1.0
0.113683563,30,0,0.134703897,3258.0,4,0,0,0,1.0
0.378005162,64,0,0.528394057,4912.0,12,0,0,0,3.0
0.549644023,73,0,0.360824742,8632.0,8,0,1,0,1.0
0.0,43,0,3071.0,,7,0,2,0,2.0
0.632246972,70,0,1394.0,,8,0,1,0,
0.001665258,43,0,0.448855114,10000.0,7,0,1,0,2.0
0.673285453,32,1,0.648823258,2166.0,7,0,1,0,0.0
0.028980974,66,0,0.226452378,7590.0,13,0,1,0,0.0
0.227989322,59,0,0.147512155,29000.0,7,0,3,0,0.0
0.004777135,48,0,0.275236238,6666.0,3,0,1,0,0.0
0.191036402,57,0,3142.0,,8,0,1,0,0.0
0.9999999,48,0,0.0,0.0,1,2,0,0,3.0
0.114484744,36,0,0.191441141,7500.0,20,0,1,0,0.0
0.741144065,53,0,0.518107087,4500.0,15,0,1,0,1.0
0.215549376,43,0,0.112385015,7500.0,8,0,0,0,2.0
0.060508063,48,0,2.199866755,1500.0,11,0,3,0,0.0
0.837978447,59,0,0.244226446,4892.0,13,0,0,0,1.0
0.556001358,73,0,0.300858704,6404.0,9,0,2,0,0.0
0.914126417,54,0,2141.0,,6,0,1,0,2.0
0.373339588,49,0,0.266375546,10075.0,14,0,1,0,2.0
0.792828685,26,1,0.002412961,2900.0,2,0,0,0,0.0
0.375864343,56,0,0.278036598,20820.0,5,0,2,0,3.0
0.0,28,1,0.064687169,6600.0,11,0,0,0,0.0
1.016474588,44,1,0.184951395,7920.0,3,0,0,0,1.0
0.519983226,53,0,0.366941959,8717.0,16,0,1,0,0.0
0.810203388,71,0,0.095891764,10125.0,4,0,0,0,0.0
0.616922885,52,0,147.0,,2,0,0,0,0.0
0.008628078,95,0,4.0,,2,0,0,0,0.0
0.107980143,60,0,0.331766823,10000.0,11,0,1,0,0.0
0.826465564,51,0,0.481152396,3713.0,6,0,1,0,0.0
0.001412403,44,0,0.177039491,11166.0,6,0,1,0,1.0
0.031702969,34,0,0.378602669,8916.0,8,0,1,0,0.0
0.0,32,0,0.456458636,2755.0,3,0,1,0,0.0
0.174825632,62,0,0.320515286,5200.0,15,0,1,0,1.0
0.009003979,39,0,3782.0,,8,0,2,0,0.0
0.410418396,41,0,0.28575143,3845.0,5,0,0,1,0.0
0.0,33,0,0.245721271,3271.0,6,0,0,0,0.0
0.0,26,0,0.238521837,6250.0,5,0,1,0,0.0
0.9999999,34,0,0.0,4200.0,2,0,0,0,0.0
0.439308476,62,0,0.468150298,6200.0,9,0,1,0,1.0
0.080879902,48,0,0.200127402,9418.0,5,0,1,0,5.0
0.357865382,79,0,0.479187817,10834.0,12,0,2,0,0.0
0.351180493,61,2,0.819643883,1740.0,6,0,1,0,0.0
0.751624972,47,0,0.500735465,12916.0,16,0,2,0,3.0
0.9999999,32,1,0.167270094,2761.0,4,0,0,0,0.0
0.158436837,66,0,15.0,,1,0,0,0,0.0
0.793771482,60,3,0.238233585,6883.0,6,0,1,0,0.0
0.870394585,46,1,1.004054376,4192.0,9,0,4,0,3.0
0.61430378,47,0,1880.0,,7,0,0,1,0.0
0.9999999,24,0,3.0,,1,0,0,0,
0.047848308,40,0,0.32391902,4000.0,12,0,1,0,1.0
0.9999999,66,0,1818.0,,5,0,2,0,0.0
0.009754904,28,0,958.0,0.0,7,0,1,0,0.0
0.170719369,42,2,0.68890598,5200.0,18,0,2,0,4.0
0.081850642,60,1,0.323533823,20000.0,18,0,3,0,1.0
0.019425749,49,0,0.388623486,9000.0,9,0,1,0,3.0
0.285470185,46,0,0.254116392,15000.0,8,0,2,0,0.0
0.00411755,58,0,0.127439812,13166.0,9,0,1,0,0.0
0.015212865,59,0,0.151041054,8500.0,9,0,1,0,0.0
0.9999999,38,0,0.233383308,2000.0,3,0,0,0,1.0
0.358502117,41,0,0.52408289,7141.0,13,0,2,0,0.0
0.155923954,53,0,4566.0,,9,0,2,0,0.0
